"1 Chan 1","2 Chan 2","3 Chan 3"
"0.001910","0.006201","0.019609"
"0.001918","0.006435","0.019681"
"0.001987","0.006608","0.019494"
"0.002061","0.006725","0.019221"
"0.002139","0.006671","0.018861"
"0.002206","0.006658","0.018676"
"0.002265","0.006616","0.018488"
"0.002334","0.006651","0.018277"
"0.002379","0.006539","0.018215"
"0.002544","0.006248","0.017729"
"0.002730","0.006014","0.017184"
"0.002945","0.005851","0.016452"
"0.003026","0.005691","0.016361"
"0.002980","0.005446","0.017101"
"0.002917","0.005045","0.018310"
"0.003234","0.004836","0.019015"
"0.003518","0.004684","0.019337"
"0.003781","0.004618","0.019506"
"0.003656","0.004458","0.020269"
"0.003504","0.004367","0.021554"
"0.003300","0.004398","0.022509"
"0.003119","0.004522","0.023168"
"0.003024","0.004570","0.023149"
"0.002986","0.004643","0.023111"
"0.002981","0.004709","0.022819"
"0.002941","0.004801","0.022733"
"0.002789","0.004966","0.023013"
"0.002703","0.005404","0.022781"
"0.002643","0.005888","0.022342"
"0.002641","0.006272","0.021483"
"0.002299","0.006267","0.021207"
"0.001942","0.005993","0.021411"
"0.001620","0.005775","0.021559"
"0.001680","0.005640","0.021027"
"0.001834","0.005629","0.019672"
"0.002001","0.005475","0.018642"
"0.002106","0.005197","0.018383"
"0.002601","0.005076","0.018622"
"0.004656","0.005372","0.018636"
"0.008151","0.006822","0.018217"
"0.013315","0.009645","0.017331"
"0.018924","0.012434","0.016347"
"0.024235","0.016028","0.015250"
"0.030717","0.019914","0.013973"
"0.037320","0.023579","0.012633"
"0.043136","0.027246","0.011379"
"0.048237","0.031527","0.009632"
"0.053023","0.035980","0.008292"
"0.057299","0.040448","0.007083"
"0.061428","0.045056","0.006250"
"0.065695","0.049163","0.005530"
"0.070200","0.053640","0.004686"
"0.073541","0.058100","0.004071"
"0.073879","0.061329","0.004002"
"0.072641","0.062977","0.004719"
"0.070047","0.062918","0.005905"
"0.067260","0.062389","0.007173"
"0.064852","0.060580","0.008439"
"0.061420","0.058337","0.009904"
"0.057963","0.056012","0.011626"
"0.055196","0.053431","0.013312"
"0.052963","0.049629","0.014814"
"0.050942","0.045437","0.016144"
"0.049467","0.041191","0.017277"
"0.047902","0.036668","0.018522"
"0.045837","0.032620","0.019719"
"0.043812","0.028193","0.020659"
"0.042679","0.023604","0.021438"
"0.043504","0.019926","0.021576"
"0.044091","0.016705","0.021481"
"0.044347","0.013690","0.021346"
"0.044460","0.011036","0.021031"
"0.044514","0.008682","0.020872"
"0.044311","0.006497","0.020565"
"0.043905","0.004719","0.019989"
"0.043834","0.003364","0.019389"
"0.043764","0.002784","0.019147"
"0.043506","0.002417","0.018999"
"0.042510","0.002150","0.019206"
"0.041165","0.001996","0.019591"
"0.039910","0.001913","0.019982"
"0.038507","0.001925","0.020689"
"0.037423","0.002109","0.021703"
"0.035825","0.002327","0.023172"
"0.034594","0.002607","0.024658"
"0.033489","0.002894","0.026064"
"0.032436","0.003182","0.027527"
"0.031430","0.003415","0.029189"
"0.030650","0.003657","0.030782"
"0.029985","0.003864","0.032259"
"0.028980","0.004036","0.033541"
"0.027954","0.004219","0.034472"
"0.026623","0.004278","0.035340"
"0.025991","0.004266","0.035976"
"0.026014","0.004089","0.036523"
"0.026515","0.003831","0.036977"
"0.026715","0.003554","0.037018"
"0.026266","0.003229","0.036627"
"0.025664","0.002843","0.036351"
"0.025035","0.002406","0.036239"
"0.024416","0.002009","0.036207"
"0.023872","0.001639","0.036099"
"0.023265","0.001340","0.035713"
"0.022491","0.001049","0.035472"
"0.021523","0.000794","0.035319"
"0.020017","0.000550","0.035417"
"0.018565","0.000301","0.035980"
"0.017676","0.000152","0.036586"
"0.016831","0.000042","0.036926"
"0.015886","0.000017","0.036977"
"0.014625","0.000017","0.037013"
"0.013856","0.000017","0.037042"
"0.013329","0.000001","0.037375"
"0.012954","0.000000","0.037377"
"0.012835","0.000000","0.037140"
"0.013244","0.000000","0.036828"
"0.013549","0.000000","0.036536"
"0.013878","0.000000","0.036527"
"0.014329","0.000000","0.036766"
"0.014883","0.000026","0.037280"
"0.015970","0.000026","0.038208"
"0.016732","0.000026","0.039437"
"0.017356","0.000026","0.040360"
"0.017938","0.000055","0.041421"
"0.018259","0.000086","0.042803"
"0.018098","0.000170","0.044126"
"0.017578","0.000269","0.045570"
"0.016915","0.000442","0.046493"
"0.016138","0.000539","0.047393"
"0.015121","0.000636","0.048272"
"0.013543","0.000771","0.048674"
"0.011952","0.001008","0.048655"
"0.010345","0.001256","0.048433"
"0.008701","0.001487","0.048027"
"0.007147","0.001712","0.047247"
"0.005654","0.001973","0.045864"
"0.004681","0.002255","0.043715"
"0.003846","0.002490","0.041903"
"0.003021","0.002719","0.040005"
