"Time","2 Trdml","3 Platform","4 GM","5 Ip","6 BF","7 VL","8 St","9 TA","10 Gs","11 Gr","12 Synch","42 Ramp up","43 Ramp down","44 sw onset","45 sw offset"
1.92,0.19285,1.48375,0.00060,0.00147,0.00086,0.00082,0.00113,0.00065,0.00228,0.00127,0,0,0,0,0
1.93,0.19286,1.48427,0.00055,0.00117,0.00074,0.00061,0.00106,0.00073,0.00294,0.00119,0,0,0,0,0
1.94,0.19216,1.48281,0.00062,0.00117,0.00089,0.00068,0.00130,0.00075,0.00301,0.00137,0,0,0,0,0
1.95,0.19299,1.48506,0.00058,0.00114,0.00100,0.00107,0.00107,0.00076,0.00526,0.00143,0,0,0,0,0
1.96,0.19435,1.48372,0.00056,0.00125,0.00108,0.00118,0.00098,0.00073,0.00349,0.00162,0,0,0,0,0
1.97,0.19494,1.48439,0.00057,0.00150,0.00122,0.00140,0.00097,0.00066,0.00321,0.00175,0,0,0,0,0
1.98,0.19592,1.48525,0.00062,0.00159,0.00143,0.00170,0.00076,0.00066,0.00398,0.00176,0,0,0,0,0
1.99,0.19611,1.48297,0.00067,0.00121,0.00118,0.00111,0.00062,0.00063,0.00461,0.00143,0,0,0,0,0
2.00,0.19592,1.48423,0.00071,0.00100,0.00083,0.00072,0.00054,0.00064,0.00372,0.00073,0,0,0,0,0
2.01,0.19665,1.48428,0.00488,0.00685,0.00081,0.00073,0.00246,0.00093,0.00313,0.00330,0,0,0,1,0
2.02,0.19669,1.48350,0.00740,0.01113,0.00073,0.00072,0.00296,0.00111,0.00645,0.00679,0,0,0,0,0
2.03,0.19660,1.48552,0.00461,0.00885,0.00072,0.00064,0.00158,0.00198,0.01177,0.00591,0,0,0,0,0
2.04,0.19652,1.48445,0.00323,0.00842,0.00073,0.00056,0.00121,0.00246,0.00027,0.00299,0,0,0,0,0
2.05,0.19657,1.48397,0.00479,0.01016,0.00072,0.00057,0.00075,0.00285,0.00493,0.00185,0,0,0,0,0
