"Time","2 Trdml","3 Platform","4 GM","5 Ip","6 BF","7 VL","8 St","9 TA","10 Gs","11 Gr","12 Synch","42 Ramp up","43 Ramp down","44 sw onset","45 sw offset"
1.93,0.19498,-1.48162,0.00158,0.00331,0.00079,0.00086,0.00094,0.00063,0.00320,0.00107,0,0,0,0,0
1.94,0.19507,-1.47806,0.00377,0.01097,0.00075,0.00058,0.00107,0.00066,0.00291,0.00153,0,0,0,0,0
1.95,0.19501,-1.47770,0.00449,0.01198,0.00072,0.00059,0.00133,0.00152,0.00428,0.00338,0,0,0,1,0
1.96,0.19507,-1.48079,0.00397,0.00933,0.00074,0.00054,0.00120,0.00240,0.00634,0.00431,0,0,0,0,0
1.97,0.19574,-1.48024,0.00380,0.01386,0.00070,0.00056,0.00079,0.00291,0.00730,0.00231,0,0,0,0,0
1.98,0.19630,-1.47972,0.00271,0.01160,0.00063,0.00056,0.00065,0.00274,0.00571,0.00156,0,0,0,0,0
1.99,0.19678,-1.48370,0.00492,0.01080,0.00065,0.00062,0.00055,0.00179,0.00234,0.00166,0,0,0,0,0
2.00,0.19789,-1.48118,0.00736,0.01441,0.00085,0.00072,0.00058,0.00142,0.00300,0.00115,0,0,0,0,0
2.01,0.19862,-1.47948,0.00687,0.00988,0.00094,0.00081,0.00059,0.00111,0.00402,0.00116,0,0,0,0,0
2.02,0.19829,-1.48124,0.00357,0.00575,0.00083,0.00083,0.00055,0.00084,0.00430,0.00115,0,0,0,0,0
2.03,0.19730,-1.47895,0.00058,0.00358,0.00080,0.00090,0.00065,0.00079,0.00290,0.00119,0,0,0,0,0
